ready,JJ
to,TO
go,VB
and,CC
we,PRP
were,VBD
delighted,VBN
to,TO
help,VB
make,VB
sure,JJ
they,PRP
dont,VBP
go,VB
to,TO
waste,VB
vegetable,JJ
suppliers,NNS
say,VBP
the,DT
cauliflower,NN
which,WDT
is,VBZ
actually,RB
in,IN
the,DT
mustard,JJ
family,NN
usually,RB
flowers,NNS
in,IN
late,JJ
october,NN
and,CC
early,JJ
november,NN
in,IN
time,NN
for,IN
christmas,NN
dinners,NNS
but,CC
one,CD
grower,NN
th,NN
clements,NNS
based,VBN
near,IN
spalding,VBG
in,IN
lincolnshire,NN
says,VBZ
their,PRP$
crops,NNS
flowered,VBD
too,RB
late,JJ
for,IN
the,DT
festive,JJ
season,NN
they,PRP
blamed,VBD
a,DT
lack,NN
of,IN
cold,JJ
nights,NNS
in,IN
august,NN
and,CC
september,VB
delayed,VBN
the,DT
growth,NN
of,IN
the,DT
brassica,NN
in,IN
the,DT
uk,JJ
the,DT
shortage,NN
led,VBD
supermarkets,NNS
to,TO
import,VB
the,DT
vegetables,NNS
from,IN
france,NN
and,CC
spain,NN
to,TO
meet,VB
festive,JJ
demand,NN
richard,NN
mowbray,JJ
commercial,JJ
director,NN
at,IN
th,NN
clements,NNS
said,VBD
we,PRP
had,VBD
some,DT
of,IN
the,DT
worst,JJS
growing,VBG
conditions,NNS
for,IN
many,JJ
years,NNS
and,CC
its,PRP$
hit,NN
us,PRP
really,RB
hard,JJ
as,IN
we,PRP
missed,VBD
out,RP
on,IN
the,DT
big,JJ
christmas,NN
market,NN
the,DT
cauliflower,NN
is,VBZ
a,DT
cool,JJ
weather,NN
vegetable,NN
and,CC
the,DT
season,NN
started,VBD
badly,RB
in,IN
august,NN
and,CC
september,NN
as,IN
we,PRP
didnt,VBP
get,VB
any,DT
cold,JJ
nights,NNS
which,WDT
are,VBP
important,JJ
for,IN
growth,NN
the,DT
plants,NNS
did,VBD
not,RB
flower,VB
at,IN
the,DT
right,NN
time,NN
which,WDT
is,VBZ
the,DT
end,NN
of,IN
october,NN
and,CC
beginning,NN
of,IN
november,JJ
instead,RB
they,PRP
started,VBD
flowering,VBG
in,IN
december,NN
meaning,NN
they,PRP
were,VBD
a,DT
month,NN
behind,IN
schedule,NN
now,RB
we,PRP
have,VBP
a,DT
large,JJ
surplus,NN
of,IN
cauliflowers,NNS
and,CC
some,DT
of,IN
these,DT
would,MD
be,VB
going,VBG
to,TO
waste,VB
had,VBD
tesco,VBN
not,RB
stepped,VBN
in,IN
to,TO
help,VB
tesco,NN
has,VBZ
pledged,VBN
to,TO
help,VB
manage,VB
the,DT
surplus,NN
and,CC
has,VBZ
bought,VBN
an,DT
extra,JJ
500000,CD
cauliflowers,NNS
from,IN
grower,NN
th,NN
clements,VBZ
the,DT
cauliflowers,NNS
which,WDT
are,VBP
finally,RB
being,VBG
harvested,VBN
will,MD
be,VB
sold,VBN
for,IN
49p,CD
each,DT
instead,RB
of,IN
the,DT
regular,JJ
79p,CD
price,NN
for,IN
the,DT
next,JJ
two,CD
weeks,NNS
cauliflower,JJR
cheese,VBP
the,DT
classic,JJ
british,JJ
dish,NN
commonly,RB
served,VBD
with,IN
a,DT
good,JJ
roast,NN
dinner,NN
cauliflower,JJR
cheese,JJ
consists,NNS
of,IN
pieces,NNS
of,IN
cauliflower,NN
lightly,RB
boiled,VBD
and,CC
covered,VBD
with,IN
a,DT
milkbased,JJ
cheese,NN
sauce,NN
for,IN
which,WDT
a,DT
mature,NN
cheese,JJ
tends,NNS
to,TO
be,VB
preferred,VBN
it,PRP
can,MD
be,VB
eaten,VBN
as,IN
a,DT
main,JJ
course,NN
for,IN
lunch,NN
or,CC
dinner,NN
or,CC
as,IN
a,DT
side,NN
dish,NN
cauliflower,NN
rice,NN
while,IN
cauliflower,JJR
cheese,NN
is,VBZ
the,DT
traditional,JJ
dish,NN
cauliflower,NN
rice,NN
is,VBZ
the,DT
trendy,JJ
newcomer,NN
use,NN
a,DT
cheese,JJ
grater,NN
with,IN
mediumsize,JJ
holes,NNS
or,CC
a,DT
good,JJ
processor,NN
to,TO
break,VB
up,RP
the,DT
cauliflower,NN
head,NN
into,IN
rice,NN
size,NN
pieces,NNS
dry,VBP
it,PRP
in,IN
a,DT
towel,NN
to,TO
remove,VB
the,DT
moisture,NN
season,NN
and,CC
saute,NN
or,CC
steam,NN
for,IN
around,IN
58,CD
minutes,NNS
roasted,VBD
aloo,JJ
gobi,NN
bored,VBD
of,IN
a,DT
chicken,NN
curry,NN
this,DT
might,MD
spice,VB
up,RP
your,PRP$
life,NN
cut,VBD
up,RP
large,JJ
chunks,NNS
of,IN
cauliflower,NN
and,CC
potato,NN
and,CC
mix,NN
in,IN
with,IN
spices,NNS
such,JJ
as,IN
cumin,NN
coriander,NN
turmeric,NN
and,CC
chilli,NN
powder,NN
you,PRP
could,MD
even,RB
serve,VB
it,PRP
with,IN
cauliflower,JJR
rice,NN
if,IN
you,PRP
are,VBP
really,RB
trying,VBG
to,TO
eat,VB
your,PRP$
way,NN
through,IN
the,DT
cauliflower,NN
surplus,NN
